PC1,PC2,PC3,cohorte,tipo,grupo
-49.204636,-4.218894,-68.268295,BRCA,tumor,tumor_BRCA
-44.280792,-38.650627,-42.09862,BRCA,tumor,tumor_BRCA
-38.473324,-23.117441,-68.26029,BRCA,tumor,tumor_BRCA
-52.15364,-0.1249788,-63.806786,BRCA,tumor,tumor_BRCA
-51.771946,-18.509169,-49.18682,BRCA,tumor,tumor_BRCA
-27.628782,-29.995974,-62.699738,BRCA,tumor,tumor_BRCA
-34.52598,19.000782,-78.92029,BRCA,tumor,tumor_BRCA
-39.13646,-27.42422,-72.96438,BRCA,tumor,tumor_BRCA
-59.051727,11.651256,-25.049814,BRCA,tumor,tumor_BRCA
-42.558388,-58.02739,-57.97125,BRCA,tumor,tumor_BRCA
-63.618164,7.568478,-72.17105,BRCA,tumor,tumor_BRCA
-19.64139,-30.186481,-88.719536,BRCA,tumor,tumor_BRCA
-34.456924,-63.355778,-58.46175,BRCA,tumor,tumor_BRCA
-52.573437,-22.425413,-60.86781,BRCA,tumor,tumor_BRCA
-48.307987,-7.7801566,-66.70809,BRCA,tumor,tumor_BRCA
-57.710663,-10.072078,-21.788656,BRCA,tumor,tumor_BRCA
-39.549694,26.98844,-60.79407,BRCA,tumor,tumor_BRCA
-48.429295,-18.557766,-31.067225,BRCA,tumor,tumor_BRCA
-29.885931,-15.87931,-67.547295,BRCA,tumor,tumor_BRCA
-42.090393,-26.637026,-73.96623,BRCA,tumor,tumor_BRCA
-57.67527,-2.611616,-67.477806,BRCA,tumor,tumor_BRCA
-50.779125,-29.222136,-56.012917,BRCA,tumor,tumor_BRCA
-48.748146,7.207847,-67.66372,BRCA,tumor,tumor_BRCA
-43.627666,36.12383,-68.57014,BRCA,tumor,tumor_BRCA
-33.708065,-18.00985,-70.32567,BRCA,tumor,tumor_BRCA
-30.962372,-15.25168,-80.829926,BRCA,tumor,tumor_BRCA
-64.59369,-16.199562,-46.58592,BRCA,tumor,tumor_BRCA
-62.747383,2.8306527,-66.731865,BRCA,tumor,tumor_BRCA
-63.225323,-19.256067,-59.242043,BRCA,tumor,tumor_BRCA
-54.977993,-38.246567,-65.17585,BRCA,tumor,tumor_BRCA
-51.273266,-4.352932,-72.59656,BRCA,tumor,tumor_BRCA
-53.45765,13.202682,-56.481617,BRCA,tumor,tumor_BRCA
-43.52585,-48.536186,-69.16463,BRCA,tumor,tumor_BRCA
-27.089994,-41.209053,-61.88626,BRCA,tumor,tumor_BRCA
-31.945766,2.2149215,-43.920345,BRCA,tumor,tumor_BRCA
-50.694405,-35.312298,-31.812544,BRCA,tumor,tumor_BRCA
-61.924664,-3.2412918,-60.407574,BRCA,tumor,tumor_BRCA
-52.97686,-17.501415,-34.21575,BRCA,tumor,tumor_BRCA
-26.39958,-74.51078,-47.206333,BRCA,tumor,tumor_BRCA
-49.44286,-35.51627,-55.58259,BRCA,tumor,tumor_BRCA
-62.90597,-32.951984,-54.26385,BRCA,tumor,tumor_BRCA
-47.245846,-8.246814,-75.07543,BRCA,tumor,tumor_BRCA
-53.92268,30.046192,-70.20177,BRCA,tumor,tumor_BRCA
-73.596634,-4.3752947,-33.829285,BRCA,tumor,tumor_BRCA
-62.29544,5.2138104,-49.287437,BRCA,tumor,tumor_BRCA
-38.22489,-62.83162,-72.33893,BRCA,tumor,tumor_BRCA
-56.395664,19.221346,-68.57197,BRCA,tumor,tumor_BRCA
-30.412115,10.877135,-58.774654,BRCA,tumor,tumor_BRCA
-34.01065,-41.369335,-63.353996,BRCA,tumor,tumor_BRCA
-42.94157,-3.1530316,-68.34068,BRCA,tumor,tumor_BRCA
-43.21853,9.440526,-27.15947,BRCA,tumor,tumor_BRCA
-59.705513,-24.871693,-55.62032,BRCA,tumor,tumor_BRCA
-42.3286,-28.214876,-67.52091,BRCA,tumor,tumor_BRCA
-69.77287,51.352814,-28.419117,BRCA,tumor,tumor_BRCA
-60.867844,58.479973,-47.012066,BRCA,tumor,tumor_BRCA
-62.7327,-14.892182,-47.573967,BRCA,tumor,tumor_BRCA
-55.514164,-44.34452,-69.08819,BRCA,tumor,tumor_BRCA
-36.87532,-37.389122,-71.58669,BRCA,tumor,tumor_BRCA
-50.83688,-56.907753,-35.69446,BRCA,tumor,tumor_BRCA
-41.99971,-10.565267,-69.30719,BRCA,tumor,tumor_BRCA
-35.257023,-25.646347,-76.737076,BRCA,tumor,tumor_BRCA
-67.336136,-32.151714,-46.935295,BRCA,tumor,tumor_BRCA
-33.9072,-52.71294,-61.59601,BRCA,tumor,tumor_BRCA
-48.94917,-45.404305,-59.75568,BRCA,tumor,tumor_BRCA
-32.513817,-5.582876,-51.079105,BRCA,tumor,tumor_BRCA
-40.924576,12.820179,-46.423904,BRCA,tumor,tumor_BRCA
-56.37996,17.766891,-52.981483,BRCA,tumor,tumor_BRCA
-23.178547,-52.386093,-74.36172,BRCA,tumor,tumor_BRCA
-38.05004,-9.037086,-57.469513,BRCA,tumor,tumor_BRCA
-55.900803,-35.197166,-68.51456,BRCA,tumor,tumor_BRCA
-74.94076,52.76916,-42.068382,BRCA,tumor,tumor_BRCA
-38.299713,-55.18776,-71.68631,BRCA,tumor,tumor_BRCA
-80.66577,-0.38536337,-56.673157,BRCA,tumor,tumor_BRCA
-59.850616,28.889282,-41.61146,BRCA,tumor,tumor_BRCA
-53.977917,33.856483,-54.71138,BRCA,tumor,tumor_BRCA
-78.22879,-7.282644,-26.489874,BRCA,tumor,tumor_BRCA
-61.190483,1.2761554,-70.9921,BRCA,tumor,tumor_BRCA
-46.214443,-22.284489,-55.857445,BRCA,tumor,tumor_BRCA
-50.183773,-20.566278,-77.83558,BRCA,tumor,tumor_BRCA
-51.26537,-41.20945,-54.43306,BRCA,tumor,tumor_BRCA
-49.449955,-10.895554,-53.503754,BRCA,tumor,tumor_BRCA
-37.977455,4.6889224,-62.21551,BRCA,tumor,tumor_BRCA
-10.628741,3.0479841,-36.087944,BRCA,tumor,tumor_BRCA
-78.605606,-4.9162974,-11.39979,BRCA,tumor,tumor_BRCA
-62.83747,12.073907,-57.986523,BRCA,tumor,tumor_BRCA
-58.046917,-0.7643622,-54.68486,BRCA,tumor,tumor_BRCA
-63.652657,31.568823,-55.80375,BRCA,tumor,tumor_BRCA
-67.16645,-20.356167,-55.193913,BRCA,tumor,tumor_BRCA
-28.76373,-41.207474,-79.91316,BRCA,tumor,tumor_BRCA
-44.299747,-22.81009,-52.576366,BRCA,tumor,tumor_BRCA
-77.54933,-5.5067015,-46.116814,BRCA,tumor,tumor_BRCA
-69.04658,-5.1563897,-51.770218,BRCA,tumor,tumor_BRCA
-45.430527,-10.585105,-43.135113,BRCA,tumor,tumor_BRCA
-48.087795,-50.17553,-59.0217,BRCA,tumor,tumor_BRCA
-53.75862,-12.669119,-77.61601,BRCA,tumor,tumor_BRCA
-30.968468,28.793802,-74.85244,BRCA,tumor,tumor_BRCA
-61.568142,14.82918,-59.54649,BRCA,tumor,tumor_BRCA
-73.8791,29.28872,-29.68196,BRCA,tumor,tumor_BRCA
-41.39201,-35.950325,-81.64064,BRCA,tumor,tumor_BRCA
-49.407406,-26.296444,-51.937378,BRCA,tumor,tumor_BRCA
-43.96337,11.893132,-63.07591,BRCA,tumor,tumor_BRCA
