modelo,tiempo_s,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,roc_auc_ovr_mean,roc_auc_ovr_std,kappa_mean,kappa_std
LinearSVM_SelectKBest,8.09225058555603,0.9992000000000001,0.001599999999999957,0.999308189811787,0.001383620376426098,0.9990684154579086,0.0018631690841829582,1.0,0.0,0.9987980433263453,0.002403913347309583
RandomForest_SelectKBest,36.410849809646606,0.9982,0.0022271057451320204,0.998533404322024,0.0018009904429660867,0.9981354169376981,0.0022836396372171515,1.0,0.0,0.9975916014880646,0.002949682250716799
LogReg_PCA,16.7442569732666,0.9982,0.0022271057451320204,0.998533404322024,0.0018009904429660867,0.9981354169376981,0.0022836396372171515,1.0,0.0,0.9975916014880646,0.002949682250716799
LogReg_L2_SelectKBest,6.747039318084717,0.9976594594594594,0.0020451871205162515,0.9978217350389261,0.0017838153100015893,0.9972071314911404,0.002280380414002847,1.0,0.0,0.9963840416015192,0.002952432561619436
HistGB_SelectKBest,285.39110112190247,0.9971743589743589,0.0036987266142190335,0.9977228593221609,0.003008008565235541,0.9972134919363,0.0037156474676077085,0.9999863324128719,2.7335174255949116e-05,0.9963974594944573,0.004808699628511529
KNN_SelectKBest,6.067423343658447,0.9961743589743591,0.0046935377398557385,0.9969460761460761,0.003741647273111312,0.9962701711724968,0.004568142355960477,0.9989581560283687,0.0013320583915025343,0.9951788815022808,0.005904658294072335
LogReg_L1_SelectKBest,9.36310863494873,0.9959622377622377,0.004982840873377558,0.9966212095138269,0.004183590469186199,0.9962775861392998,0.004559019172324933,0.9999942857142857,1.142857142850673e-05,0.9951807114465815,0.005902410620532276
